"country","avg_infant_mortality","avg_under_five_mortality","avg_immunisation","corr_immunisation_infant_mortality","corr_immunisation_under_five_mortality"
"Pakistan",366.833333333333,457.583333333333,1467.47222222222,0.70545513924636,0.690203168366435
"Panama",1.07142857142857,1.71428571428571,54.6428571428571,0.70545513924636,0.690203168366435
"Papua New Guinea",10.6666666666667,13.8666666666667,874.044444444444,0.70545513924636,0.690203168366435
"Paraguay",3.08333333333333,3.5,54.1944444444444,0.70545513924636,0.690203168366435
"Peru",10.8333333333333,13.8333333333333,58.8888888888889,0.70545513924636,0.690203168366435
"Philippines",61.8,79.6666666666667,2574.57777777778,0.70545513924636,0.690203168366435
"Poland",2.26666666666667,2.73333333333333,81.7111111111111,0.70545513924636,0.690203168366435
"Portugal",0.2,0.4,63.5111111111111,0.70545513924636,0.690203168366435
"Romania",2.86666666666667,3.33333333333333,549.644444444444,0.70545513924636,0.690203168366435
"Rwanda",19.5384615384615,29.7692307692308,194.358974358974,0.70545513924636,0.690203168366435
"Samoa",0,0,37.4222222222222,0.70545513924636,0.690203168366435
"Sao Tome and Principe",0,0,59.7777777777778,0.70545513924636,0.690203168366435
"Senegal",21.3636363636364,33.6363636363636,105.575757575758,0.70545513924636,0.690203168366435
"Serbia",1,1,81.3939393939394,0.70545513924636,0.690203168366435
"Seychelles",0,0,66.0222222222222,0.70545513924636,0.690203168366435
"Sierra Leone",26.25,38.625,252.083333333333,0.70545513924636,0.690203168366435
"Solomon Islands",0,0,54.7777777777778,0.70545513924636,0.690203168366435
"South Africa",49.1333333333333,71,578.622222222222,0.70545513924636,0.690203168366435
"Spain",1.66666666666667,1.93333333333333,220.377777777778,0.70545513924636,0.690203168366435
"Sri Lanka",3.83333333333333,4.66666666666667,178.972222222222,0.70545513924636,0.690203168366435
"Suriname",0,0,56.9333333333333,0.70545513924636,0.690203168366435
"Sweden",0,0,62.8333333333333,0.70545513924636,0.690203168366435
"Tajikistan",10.3076923076923,12.3076923076923,136.692307692308,0.70545513924636,0.690203168366435
"Thailand",12.4,14.4666666666667,1594.75555555556,0.70545513924636,0.690203168366435
"Togo",13.8571428571429,21,158.571428571429,0.70545513924636,0.690203168366435
"Tonga",0,0,52.3555555555556,0.70545513924636,0.690203168366435
"Trinidad and Tobago",0,0.153846153846154,46.025641025641,0.70545513924636,0.690203168366435
"Tunisia",3.26666666666667,3.73333333333333,76.2222222222222,0.70545513924636,0.690203168366435
"Turkey",27.7333333333333,33.2,1922.6,0.70545513924636,0.690203168366435
"Turkmenistan",6.53846153846154,8,67.2051282051282,0.70545513924636,0.690203168366435
"Uganda",87.5384615384615,134.692307692308,2779.5641025641,0.70545513924636,0.690203168366435
"Ukraine",5.13333333333333,6,1962.71111111111,0.70545513924636,0.690203168366435
"Uruguay",0.6,0.8,62.8222222222222,0.70545513924636,0.690203168366435
"Uzbekistan",21.3846153846154,24.9230769230769,146.948717948718,0.70545513924636,0.690203168366435
"Vanuatu",0,0,47.1777777777778,0.70545513924636,0.690203168366435
"Zambia",30.5,46.9,1082.93333333333,0.70545513924636,0.690203168366435
"Zimbabwe",26.8666666666667,41.4,376.266666666667,0.70545513924636,0.690203168366435
