"country","avg_life_exp","avg_cardio_deaths","avg_neonatal_deaths","avg_hiv_deaths","corr_cardio_life_exp","corr_neonatal_life_exp","corr_hiv_life_exp"
"Germany",81.1866666666667,330107.4,1356.26666666667,583.466666666667,-0.338967959512206,-0.798582039916432,-0.806723305934608
"Ghana",61.2923076923077,29284,19235.1538461538,21388,0.610502410203122,-0.0372073663661671,-0.398636320816519
"Greece",81.2333333333333,47915.2,204.8,23.3333333333333,-0.180129286750579,-0.703898512041045,0.740581313364719
"Guatemala",73.14,10875.4,3824.4,750.3,-0.141564214387083,-0.184625665394509,0.147720774924256
"Guinea",57.7125,13876.125,11227.125,4377,0.933836840798748,-0.90652475156232,-0.97906935597709
"Guinea-Bissau",57.3666666666667,1975,1863.5,1365.5,0.995154028742303,-0.998599378022064,-0.987563282105642
"Guyana",65.6142857142857,2068.35714285714,288.785714285714,276.214285714286,0.653762868882861,-0.706951168494364,-0.743479246732885
"Haiti",62.9,23421.5,5927,8685,1,1,-1
"Honduras",72.8866666666667,9560.33333333333,2260.13333333333,124.466666666667,0.947192713674183,-0.982740396359117,-0.858613789194718
"India",66,1912090.27272727,661559.090909091,133210.363636364,0.990358805534413,-0.998584513994911,-0.954283616135431
"Indonesia",67.4533333333333,484071.666666667,70945.2666666667,2909.06666666667,0.897636013212571,-0.901479885094236,0.893846445853544
"Iraq",70.3909090909091,59644.0909090909,13473,66.8181818181818,0.590094945351786,-0.497063626271931,0.501105961358442
"Ireland",83.44,9306.2,104.4,11.8,-0.781680144509588,0.777821886630241,0.665020329717161
"Israel",81.22,10912.8,314.466666666667,36.5333333333333,-0.667867796208805,-0.759967647730276,0.574452539517284
"Italy",82.1533333333333,214232.266666667,1092.93333333333,956.2,-0.598941094958512,-0.1714462414886,0.15695796386921
"Jamaica",74.5166666666667,5033.91666666667,540.75,502.916666666667,0.857338432380429,-0.977809711573062,-0.271356811313773
"Jordan",72.9133333333333,6536.86666666667,1519.73333333333,14.6,0.879333712655901,-0.718786906281096,0.881723336065716
"Kazakhstan",66.4133333333333,78541.2666666667,2709.2,270.266666666667,-0.820607412580003,0.0172617607178389,0.500726638965177
"Kenya",57.8846153846154,29759.6923076923,20588.2307692308,99200.3846153846,0.967020562325885,0.514240479990523,-0.985132516642324
"Kiribati",65.0733333333333,283.8,55.8,1.86666666666667,0.949266921790876,-0.982248786990663,0.643588963079089
"Latvia",73.6733333333333,17604.8,66.5333333333333,108.133333333333,0.162013688029867,-0.100460427486535,0.0731797846973689
"Lebanon",74.1533333333333,12652.8666666667,675.266666666667,63.6666666666667,0.961012021882723,-0.990373180325684,-0.844967596034163
"Lesotho",48.6083333333333,3949.83333333333,1535.16666666667,14659.8333333333,0.830968563136732,-0.953805028182909,-0.916795097238217
"Liberia",60.8142857142857,3865,2841.14285714286,2249.42857142857,0.463961384338506,-0.0942895286949998,-0.626497421495466
"Lithuania",72.7533333333333,21907.8666666667,66,71.3333333333333,0.422464396786574,-0.169218026640144,-0.275949298940653
"Luxembourg",80.7,1315.26666666667,7.53333333333333,3.06666666666667,-0.724825224886481,-0.639581373223799,-0.643444999448568
"Madagascar",63.2153846153846,26744,13562.3076923077,1594.69230769231,0.411261179766775,0.29246141704736,0.437363333276444
"Malawi",50.2615384615385,12718.8461538462,13069.6923076923,49817.2307692308,0.97891310089149,-0.993407815884176,-0.995303458983651
"Malaysia",73.6733333333333,40897.4666666667,1487.2,2159.73333333333,0.975580216907777,-0.705982522341291,0.793487380734906
"Maldives",75.34,373.4,102.466666666667,0.466666666666667,0.655846971605043,-0.619041283767954,0.591620944065539
"Mali",55.4,14825.5,25751.4166666667,5781.16666666667,0.978980519697085,0.991343703464795,-0.756651976371354
"Malta",80.8833333333333,1311.91666666667,12.5,2,0.375930558486101,0.67242910855443,NA
"Mauritania",63.17,3311.6,2522,26.3,-0.354689965946118,0.338926303447446,0.755336726450767
"Mauritius",72.5866666666667,3079.06666666667,141.466666666667,48.3333333333333,-0.90670725453154,-0.935827288320641,0.963249430050877
"Mexico",75.6533333333333,110196.466666667,21863.0666666667,5473.8,0.915003573757338,-0.938369410066802,0.511725037791621
"Mongolia",65.6933333333333,7834.6,967.466666666667,6.86666666666667,0.125402515234485,-0.293476861952127,0.896940489678669
"Montenegro",75.0666666666667,3802.77777777778,31.3333333333333,2,0.928373027466312,-0.979378772639884,NA
"Morocco",72.0133333333333,87882,12633.4666666667,795.466666666667,0.653413158085644,-0.648600858253047,0.639213646851148
"Mozambique",53.4071428571429,23618.4285714286,25814.5714285714,71119.0714285714,0.637574329877445,-0.57863357737682,0.776585867837479
"Myanmar",64.4333333333333,120986.416666667,25671.5,14843.5,0.602118778828808,-0.579528891214157,-0.362363338107307
"Namibia",65.02,3254.6,1006.8,4540.2,0.636045219759324,-0.925017127379642,-0.981726499570306
"Nepal",67.1416666666667,32375,14911.25,1983.58333333333,0.989003088848198,-0.994070625139383,0.842546246837763
"Netherlands",81.325,37606.25,344,57.5,0.520315180571418,-0.984731927834664,-0.723746864455748
"Nicaragua",73.36,6019.2,1131.4,236.333333333333,0.143843482500174,-0.145741113906148,0.258473693111733
"Niger",61.35,12532.5,18618.8333333333,2302.33333333333,0.69986441793324,0.704239883419439,-0.790304196328449
